ruleID,ruleName,category,fieldMonitored,condition,operator,value,flagType,riskScore,actionTriggered,onlineOnly,notes
TXN-001,High-Value Single Transaction,Amount Threshold,transaction_amount,Amount exceeds limit,>,$5000.00,AMOUNT_HIGH,3,Flag & Manual Review,No,Single transaction over $5k triggers review regardless of channel
TXN-002,Rapid Succession Transactions,Velocity,transaction_count / time,Multiple transactions in short window,>,5 in 10 min,VELOCITY_HIGH,4,Temp Block & Alert,No,More than 5 transactions in any 10-minute window
TXN-003,Round Number Pattern,Behavioral,transaction_amount,Repeated round-dollar amounts,==,Multiple of $500,ROUND_AMOUNT,2,Flag for Review,No,Fraudsters often test with round amounts like $500 $1000
TXN-004,Online Transaction New Device,Device / IP,is_online + ip_address,Online purchase from never-seen IP,==,New IP + Online,NEW_DEVICE_ONLINE,3,Require 2FA,Yes,Cross-reference IP against known user IPs in last 90 days
TXN-005,IP Geolocation Mismatch,Geolocation,ip_address vs billing_address,IP country does not match cardholder country,!=,Matching country,GEO_MISMATCH,4,Flag & Soft Decline,Yes,Compare GeoIP lookup to address on file high-risk if over 500 miles
TXN-006,Billing Shipping Address Mismatch,Address,billing_address vs shipping_address,Billing and shipping addresses differ,!=,Same address,ADDRESS_MISMATCH,3,Flag for Review,Yes,Common in card-not-present fraud weight higher for new accounts
TXN-007,Multiple Shipping Addresses Same Card,Address Velocity,shipping_address,Multiple distinct shipping addresses in 24 hrs,>,2 unique addresses,MULTI_SHIP_ADDR,3,Flag & Hold Shipment,Yes,Card testing often ships to multiple drop addresses
TXN-008,PO Box Freight Forwarder Shipping,Address,shipping_address,Shipping to PO Box or known freight forwarder,==,PO Box / FF address,FREIGHT_FORWARDER,3,Flag for Review,Yes,Higher risk for reshipping fraud schemes
TXN-009,Transaction Outside Normal Hours,Time Pattern,transaction_timestamp,Transaction between 12 AM and 5 AM cardholder local time,BETWEEN,00:00-05:00,ODD_HOURS,2,Flag for Review,No,Late-night transactions have elevated fraud rates
TXN-010,Card-Not-Present High Amount,Online / Amount,is_online + transaction_amount,Online transaction exceeds online threshold,>,$1500.00 online,CNP_HIGH_AMOUNT,3,Require 2FA,Yes,Lower threshold applies specifically to card-not-present channel
TXN-011,Failed Auth Followed by Success,Auth Pattern,auth_attempts,Multiple failed auths then approval,>,2 fails then pass,AUTH_STUFFING,4,Block & Alert Cardholder,No,Classic credential-stuffing or card-testing pattern
TXN-012,New Cardholder Large First Transaction,Account Age,account_age + transaction_amount,Account under 30 days old and transaction over $500,<,30 days + over $500,NEW_ACCT_LARGE_TXN,4,Manual Review,No,New accounts with immediate large purchases are high risk
TXN-013,Known Fraudulent IP,IP Blacklist,ip_address,IP found on internal or third-party fraud blacklist,IN,Blacklist,BLACKLISTED_IP,5,Hard Decline,Yes,Automatic decline log for law enforcement reporting
TXN-014,Suspicious Name Address Mismatch,Identity,cardholder_name vs billing_name,Name on card differs from billing name entered,!=,Matching name,NAME_MISMATCH,3,Flag for Review,Yes,Could indicate synthetic identity or account takeover
TXN-015,Duplicate Transaction,Duplicate,transaction_amount + merchant + timestamp,Same amount at same merchant within 5 minutes,==,Duplicate detected,DUPLICATE_TXN,2,Hold & Confirm,No,May be double-charge or replay attack confirm with cardholder
TXN-016,Cross-Border High Risk Country,Geo / Country,ip_address + billing_address,Transaction originates from FATF high-risk country,IN,High-risk country list,HIGH_RISK_COUNTRY,4,Flag & Manual Review,Yes,Maintain updated FATF/OFAC high-risk country list
TXN-017,Velocity Same Merchant,Merchant Velocity,merchant_id + card_number,Same card used more than 3 times at same merchant in 1 hour,>,3 in 60 min,MERCHANT_VELOCITY,3,Flag for Review,No,May indicate merchant collusion or stolen card testing
TXN-018,Cumulative Daily Spend Exceeded,Daily Limit,daily_spend_total,Total daily spend exceeds cardholder normal range,>,3x 90-day avg daily spend,DAILY_LIMIT_EXCEEDED,3,Soft Decline + Alert,No,Compare against rolling 90-day spend baseline per cardholder
TXN-019,Unusual Merchant Category,MCC Pattern,merchant_category_code,Purchase at MCC never used by this cardholder,==,Novel MCC,UNUSUAL_MCC,2,Flag for Review,No,First-ever transaction in a merchant category especially high-risk MCCs
TXN-020,High Risk Score Combined Flags,Risk Aggregation,risk_score,Cumulative risk score from all active flags,>,4,CRITICAL_RISK,5,Hard Block & Fraud Alert,No,Composite rule if sum of rule scores exceeds 4 trigger full block
TXN-021,Elder Cardholder Indicator,Elder Protection,cardholder_age,Cardholder age 65 or older,>=,65,ELDER_ABUSE_INDICATOR,4,Flag & Senior Review Queue,No,Tag all transactions on accounts where cardholder age is 65 or older for enhanced monitoring
TXN-022,Caretaker Family Member Transaction Pattern,Elder Protection,cardholder_name vs nameOnTransaction + address,Different name on transaction but same address as elder,!=,Same name,CARETAKER_PATTERN,4,Flag & Manual Review + Contact Elder Directly,No,Same-address third party transacting on elder account is high indicator of exploitation
TXN-023,Third-Party Dispute on Elder Account,Elder Protection,disputeFiledBy vs cardholder_name,Dispute filed by someone other than cardholder,!=,Cardholder name,DISPUTE_ABUSE,5,Escalate to Elder Fraud Unit,No,Dispute filed by a third party on an elder account is a critical red flag
TXN-024,Repeated Disputes on Elder Account,Elder Protection,disputeCount + cardholder_age,More than 2 disputes in 30 days on elder account,>,2 in 30 days,REPEATED_ELDER_DISPUTE,5,Escalate + Freeze Account + Notify APS,No,Pattern of dispute filing is a hallmark of elder financial exploitation
TXN-025,Elder Account Late Night Transaction,Elder Protection,transaction_timestamp + cardholder_age,Transaction on elder account between 10 PM and 6 AM,BETWEEN,22:00-06:00,ELDER_ODD_HOURS,3,Flag & Contact Cardholder Next Business Day,No,Elders rarely transact late at night warrants confirmation call
TXN-026,Large Cash Equivalent on Elder Account,Elder Protection,merchantCategory + cardholder_age,Wire transfer gift card or cash advance on elder account,IN,WIRE_TRANSFER GIFT_CARD CASH_ADVANCE,ELDER_CASH_EQUIVALENT,5,Hard Hold + Contact Elder Directly,No,Cash-equivalent instruments are primary vehicle for elder financial exploitation
TXN-027,Email Mismatch on Elder Account,Elder Protection,emailOnTransaction vs cardholder_email,Email on transaction does not match elder cardholder email on file,!=,Matching email,EMAIL_MISMATCH,3,Flag for Review,No,Third party using own email on elder account indicates account takeover
TXN-028,Shipping to Non-Elder Address,Elder Protection,shippingAddress vs cardholder_address + cardholder_age,Online purchase ships to address not matching elder address on file,!=,Cardholder address,ELDER_SHIP_MISMATCH,4,Flag & Hold Shipment + Contact Elder,Yes,Elder account shipping to a third-party address is high-risk for exploitation
